Destination,Destination State,Total Seats,,,,,,,,,,,
IAH,TX,35889,,,,,,,,,,,
MIA,FL,25747,,,,,,,,,,,
LAX,CA,24932,,,,,,,,,,,
MIA,FL,20270,Row Labels,Sum of Total Seats,,,,,,,,,
MIA,FL,19394,CA,39328,,,,,,,,,
MIA,FL,13821,FL,107308,,,,,,,,,
IAD,VA,12706,GA,33450,,,,,,,Row Labels,Sum of Total Seats,
DFW,TX,11482,IL,5819,,,,,,,FL,107308,
IAH,TX,10907,MI,216,,,,,,,TX,79460,
ATL,GA,10609,NJ,7855,,,,,,,CA,39328,
SFO,CA,10200,NY,16220,,,,,,,GA,33450,
IAH,TX,8902,PR,120,,,,,,,VA,17339,
ATL,GA,8497,TX,79460,,,,,,,NY,16220,
IAH,TX,7810,VA,17339,,,,,,,NJ,7855,
ATL,GA,7710,(blank),,,,,Row Labels,Sum of Total Seats,,IL,5819,
MIA,FL,7222,Grand Total,307115,,,,ATL,33450,,MI,216,
JFK,NY,5728,,,,,,DFW,14200,,PR,120,
ATL,GA,5727,,,,,,DTW,216,,,,
FLL,FL,5716,,,,,,EWR,7855,,,,
MCO,FL,5400,,,,,,FLL,12867,,,,
FLL,FL,4607,,,,,,IAD,17339,,,,
IAD,VA,4513,,,,,,IAH,65260,,,,
JFK,NY,3656,,,,,,JFK,16220,,,,
EWR,NJ,3630,,,,,,LAX,29128,,,,
JFK,NY,3552,,,,,,MCO,7987,,,,
ORD,IL,3540,,,,,,MIA,86454,,,,
EWR,NJ,3175,,,,,,ORD,5819,,,,
MCO,FL,2587,,,,,,SFO,10200,,,,
DFW,TX,2568,,,,,,SJU,120,,,,
FLL,FL,2544,,,,,,Grand Total,307115,,,,
LAX,CA,2388,,,,,,,,,,Code,Throughput
ORD,IL,2279,,,,,,Code,Throughput,,,FLL/MIA,99381
JFK,NY,2054,,,,,,ATL,33450,,,,
LAX,CA,1808,,,,,,DFW,14200,,,IAH,65260
IAH,TX,1752,,,,,,DTW,216,,,ATL,33450
JFK,NY,1230,,,,,,EWR,7855,JFK/EWR/LGA,24075,LAX,29128
ATL,GA,907,,,,,,FLL,12867,FLL/MIA,12867,JFK/EWR/LGA,24075
EWR,NJ,602,,,,,,IAD,17339,,,IAD,17339
EWR,NJ,448,,,,,,IAH,65260,,,,
DTW,MI,216,,,,,,JFK,16220,,,DFW,14200
DFW,TX,150,,,,,,LAX,29128,,,SFO,10200
SJU,PR,120,,,,,,MCO,7987,,,MCO,7987
IAD,VA,120,,,,,,,,,,,
,,,,,,,,ORD,5819,,,ORD,5819
,,,,,,,,SFO,10200,,,DTW,216
,,,,,,,,SJU,120,,,SJU,120