Origin,Terminal Destination,Occurrences,
CCS,PMV,2920,
CCS,PZO,1815,
CCS,MAR,1778,20594
CCS,PTY,1469,
CCS,AUA,1287,
CCS,BLA,1131,
CCS,BOG,947,
CCS,VIG,871,
CCS,CUR,715,
CCS,MUN,650,
CCS,STD,639,
CCS,BRM,636,
CCS,MIA,519,
CCS,LSP,318,
CCS,MAD,278,
CCS,SDQ,268,
CCS,LIM,220,
CCS,LRV,201,
CCS,EZE,200,
CCS,CUM,173,
CCS,HAV,161,
CCS,POS,149,
CCS,FLL,135,
CCS,MEX,123,
CCS,IAH,122,
CCS,BNS,111,
CCS,SOM,101,
CCS,CDG,99,
CCS,SCL,92,
CCS,MDE,81,
CCS,JFK,81,
CCS,SFD,81,
CCS,GYE,80,
CCS,CUN,79,
CCS,GRU,77,
CCS,SAL,76,
CCS,PUJ,69,
CCS,CAJ,68,
CCS,FCO,68,
CCS,CTG,65,
CCS,UIO,63,
CCS,CZE,56,
CCS,GEO,56,
CCS,PYH,55,
CCS,BON,49,
CCS,LFR,47,
CCS,CLO,40,
CCS,MCO,38,
CCS,MAO,33,
CCS,SJO,32,
CCS,LIS,31,
CCS,BAQ,31,
CCS,CLT,30,
CCS,TAB,28,
CCS,AMS,26,
CCS,FNC,25,
CCS,ADZ,22,
CCS,LHR,22,
CCS,GND,22,
CCS,BGA,21,
CCS,DFW,21,
CCS,EWR,21,
CCS,SXM,20,
CCS,PEI,20,
CCS,SMR,19,
CCS,LAX,18,
CCS,FRA,17,
CCS,YYZ,16,
CCS,MGA,15,
CCS,GUA,15,
CCS,COR,14,
CCS,ATL,14,
CCS,LGA,13,
CCS,ORD,13,
CCS,PHL,13,
CCS,LPB,12,
CCS,BCN,12,
CCS,DAV,11,
CCS,BSB,11,
CCS,BWI,10,
CCS,ORY,10,
CCS,SJU,10,
CCS,GIG,10,
CCS,OPO,10,
CCS,YUL,9,
CCS,BGI,9,
CCS,GCM,9,
CCS,MTR,8,
CCS,PMI,8,
CCS,LGW,8,
CCS,LIR,8,
CCS,KIN,7,
CCS,SLU,7,
CCS,SAP,7,
CCS,SFO,7,
CCS,TGU,7,
CCS,MTY,7,
CCS,IST,7,
CCS,ASU,7,
CCS,VVI,6,
CCS,BOS,6,
CCS,DOH,6,
CCS,DTW,6,
CCS,PSO,6,
CCS,CUC,6,
CCS,BRU,5,
CCS,VUP,5,
CCS,LPA,5,
CCS,AXM,5,
CCS,LET,5,
CCS,GDL,5,
CCS,MSP,5,
CCS,DCA,5,
CCS,GAO,5,
CCS,EYW,5,
CCS,VLV,5,
CCS,ZRH,5,
CCS,HOG,5,
CCS,ANU,5,
CCS,BZE,4,
CCS,MCZ,4,
CCS,MRS,4,
CCS,ALG,4,
CCS,PAP,4,
CCS,EYP,4,
CCS,SSA,4,
CCS,LAS,4,
CCS,HAJ,4,
CCS,MDZ,4,
CCS,DEN,3,
CCS,VIE,3,
CCS,BIO,3,
CCS,NAS,3,
CCS,SCU,3,
CCS,FOR,3,
CCS,REC,3,
CCS,OAX,3,
CCS,MID,3,
CCS,FUE,3,
CCS,GVA,3,
CCS,MSY,3,
CCS,SLC,3,
CCS,ATH,3,
CCS,CMW,3,
CCS,RAK,3,
CCS,VVC,3,
CCS,RSW,3,
CCS,IQT,3,
CCS,VSA,3,
CCS,DUS,3,
CCS,NAP,3,
CCS,LIN,3,
CCS,AUH,3,
CCS,MZL,3,
CCS,SAW,2,
CCS,UYU,2,
CCS,GNV,2,
CCS,PPN,2,
CCS,NKC,2,
CCS,FLA,2,
CCS,LED,2,
CCS,CIA,2,
CCS,HMO,2,
CCS,MUC,2,
CCS,PVR,2,
CCS,NRT,2,
CCS,SVO,2,
CCS,PLS,2,
CCS,SLZ,2,
CCS,BEL,2,
CCS,BNA,2,
CCS,IBE,2,
CCS,LTN,2,
CCS,NVA,2,
CCS,EOH,2,
CCS,WAW,2,
CCS,ICN,2,
CCS,NCE,2,
CCS,AKL,2,
CCS,AGP,2,
CCS,MEM,2,
CCS,OVD,2,
CCS,DXB,2,
CCS,ROS,2,
CCS,JBQ,2,
CCS,PVG,2,
CCS,MZT,2,
CCS,MVD,2,
CCS,GER,2,
CCS,BEY,2,
CCS,SAT,2,
CCS,ANF,2,
CCS,LOS,2,
CCS,MXP,2,
CCS,PMO,2,
CCS,BJX,2,
CCS,IGR,2,
CCS,ARN,2,
CCS,AEP,2,
CCS,HAM,2,
CCS,STN,2,
CCS,AQP,2,
CCS,PVD,1,
CCS,DME,1,
CCS,AHO,1,
CCS,AYT,1,
CCS,STR,1,
CCS,STL,1,
CCS,BEG,1,
CCS,CLQ,1,
CCS,MBJ,1,
CCS,POA,1,
CCS,CLE,1,
CCS,DUB,1,
CCS,ORN,1,
CCS,PUU,1,
CCS,AXA,1,
CCS,LYS,1,
CCS,CJC,1,
CCS,LCG,1,
CCS,CTA,1,
CCS,MVP,1,
CCS,MLA,1,
CCS,TGZ,1,
CCS,CWB,1,
CCS,BLQ,1,
CCS,CRP,1,
CCS,BKK,1,
CCS,FEZ,1,
CCS,CYB,1,
CCS,BIQ,1,
CCS,ISP,1,
CCS,TUL,1,
CCS,FPO,1,
CCS,REG,1,
CCS,CIY,1,
CCS,CAP,1,
CCS,SKP,1,
CCS,RUH,1,
CCS,OMA,1,
CCS,SBH,1,
CCS,BHX,1,
CCS,CAG,1,
CCS,YEG,1,
CCS,CPH,1,
CCS,PXM,1,
CCS,TPA,1,
CCS,HSV,1,
CCS,ADB,1,
CCS,GOT,1,
CCS,CYO,1,
CCS,BES,1,
CCS,ELP,1,
CCS,PIT,1,
CCS,YQB,1,
CCS,SCQ,1,
CCS,MHH,1,
CCS,PBC,1,
CCS,CAI,1,
CCS,LRD,1,
CCS,LIT,1,
CCS,NAT,1,
CCS,JED,1,
CCS,BRS,1,
CCS,SIN,1,
CCS,CKG,1,
CCS,VCE,1,
CCS,DAL,1,
CCS,BTR,1,
CCS,SLA,1,
CCS,HOU,1,
CCS,VGZ,1,
CCS,GGT,1,
CCS,GSO,1,
CCS,USH,1,
CCS,CVG,1,
CCS,TRC,1,
CCS,AUC,1,
CCS,KIX,1,
CCS,PSA,1,
CCS,SEA,1,
CCS,FLN,1,
CCS,CUU,1,
CCS,SJD,1,
CCS,PAC,1,
CCS,AUS,1,
CCS,CAY,1,
CCS,CCP,1,
CCS,SUF,1,
CCS,LCE,1,
CCS,VGO,1,
CCS,PNA,1,
CCS,SDR,1,
CCS,YVR,1,
CCS,RIC,1,
CCS,CUZ,1,
CCS,KUT,1,
CCS,OTP,1,
CCS,SPC,1,
CCS,NBO,1,
CCS,MAH,1,
CCS,BUD,1,
CCS,EJA,1,
CCS,DRS,1,
CCS,IOS,1,
CCS,BAH,1,
CCS,CUE,1,
CCS,HKG,1,
CCS,CZM,1,
CCS,NQU,1,
CCS,VER,1,
CCS,LUX,1,
CCS,XRY,1,
CCS,TLS,1,
CCS,HPN,1,
CCS,SAN,1,
CCS,PBM,1,
CCS,CVM,1,
CCS,TLV,1,
CCS,MCI,1,
CCS,BLR,1,
CCS,SSG,1,
CCS,VRN,1,
CCS,ONT,1,
CCS,BOD,1,
CCS,IAD,1,
CCS,BLB,1,
CCS,DEL,1,
CCS,TLH,1,
CCS,FLR,1,
CCS,BDA,1,
CCS,CIX,1,
CCS,TXL,1,
CCS,VLC,1,
CCS,ARI,1,
CCS,MHT,1,
CCS,BRE,1,
CCS,OSL,1,
CCS,APO,1,
No data,,,