Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
BOG,"El Dorado Intl",Bogota,,Colombia,MDE,"Jose Marie Cordova",Medellin,,Colombia,963,2029344
BOG,"El Dorado Intl",Bogota,,Colombia,CLO,"Alfonso B Aragon International",Cali,,Colombia,900,1700692
BOG,"El Dorado Intl",Bogota,,Colombia,CTG,"Rafael Nunez International",Cartagena,,Colombia,669,1499311
BOG,"El Dorado Intl",Bogota,,Colombia,BAQ,"Ernesto Cortissoz International",Barranquilla,,Colombia,542,1189250
CCS,"Simon Bolivar International",Caracas,,Venezuela,PMV,"Del Caribe International",Porlamar,,Venezuela,125,837987
BOG,"El Dorado Intl",Bogota,,Colombia,BGA,"Palonegro International",Bucaramanga,,Colombia,347,720642
BOG,"El Dorado Intl",Bogota,,Colombia,SMR,"Simon Bolivar Intl","Santa Marta",,Colombia,251,697118
BOG,"El Dorado Intl",Bogota,,Colombia,ADZ,"Gustavo R. Pinilla Int","San Andres Island",,Colombia,141,673971
BOG,"El Dorado Intl",Bogota,,Colombia,LIM,"Jorge Chavez Intl",Lima,,Peru,95,672628
BOG,"El Dorado Intl",Bogota,,Colombia,PEI,"Matecana International",Pereira,,Colombia,342,605741
CCS,"Simon Bolivar International",Caracas,,Venezuela,MAR,"La Chinita International",Maracaibo,,Venezuela,65,594223
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,POA,"Salgado Filho Intl","Porto Alegre",RS,Brazil,121,557083
BOG,"El Dorado Intl",Bogota,,Colombia,CUC,"Camilo Daza",Cucuta,,Colombia,242,551966
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CWB,"Afonso Pena International",Curitiba,PR,Brazil,117,508663
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SSA,"Luis E. Magalhaes Intl",Salvador,BA,Brazil,120,490564
BOG,"El Dorado Intl",Bogota,,Colombia,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,151,450449
CCS,"Simon Bolivar International",Caracas,,Venezuela,PZO,"Manuel Carlos Piar","Puerto Ordaz",,Venezuela,54,423599
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SCL,"Arturo M Benitez",Santiago,,Chile,168,408574
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CNF,"Tancredo Never International","Belo Horizonte",MG,Brazil,110,398364
BOG,"El Dorado Intl",Bogota,,Colombia,MTR,"Los Garzones",Monteria,,Colombia,148,392655
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FOR,"Pinto Martins International",Fortaleza,CE,Brazil,99,382435
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SDU,"Santos Dumont","Rio de Janeiro-Santos",RJ,Brazil,85,367444
BOG,"El Dorado Intl",Bogota,,Colombia,CCS,"Simon Bolivar International",Caracas,,Venezuela,37,364986
CCS,"Simon Bolivar International",Caracas,,Venezuela,BOG,"El Dorado Intl",Bogota,,Colombia,36,356990
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,GIG,"Galeao-A.C.Jobim Intl","Rio De Janeiro",RJ,Brazil,73,350879
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BSB,"J. Kubitschek Intl",Brasilia,DF,Brazil,82,345741
BOG,"El Dorado Intl",Bogota,,Colombia,SCL,"Arturo M Benitez",Santiago,,Chile,35,342211
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,REC,"Guararapes International",Recife,PE,Brazil,91,341355
CCS,"Simon Bolivar International",Caracas,,Venezuela,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,66,333134
CCS,"Simon Bolivar International",Caracas,,Venezuela,BLA,"J.A. Anzoategui Intl",Barcelona,,Venezuela,55,332605
CCS,"Simon Bolivar International",Caracas,,Venezuela,BRM,"Jacinto Lara Intl",Barquisimeto,,Venezuela,32,298737
BOG,"El Dorado Intl",Bogota,,Colombia,VUP,"Alfonso Lopez Pumarejo",Valledupar,,Colombia,86,297721
BOG,"El Dorado Intl",Bogota,,Colombia,AXM,"El Eden International",Armenia,,Colombia,131,285104
CCS,"Simon Bolivar International",Caracas,,Venezuela,AUA,"Reina Beatrix",Aruba,,Aruba,35,283015
BOG,"El Dorado Intl",Bogota,,Colombia,MZL,"La Nubia",Manizales,,Colombia,82,278204
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MIA,"Miami International",Miami,FL,"United States",58,274403
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FLN,"Hercilio Luz International",Florianopolis,SC,Brazil,52,268782
BOG,"El Dorado Intl",Bogota,,Colombia,EYP,"El Alcaravan",Yopal,,Colombia,82,267818
BOG,"El Dorado Intl",Bogota,,Colombia,NVA,"Benito Salas",Neiva,,Colombia,123,266874
SAL,"El Salvador Intl","San Salvador",,"El Salvador",GUA,"La Aurora International","Guatemala City",,Guatemala,89,266296
CCS,"Simon Bolivar International",Caracas,,Venezuela,VIG,"Juan P. Perez Alfonso","El Vigia",,Venezuela,34,244669
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,30,237513
BOG,"El Dorado Intl",Bogota,,Colombia,CUN,"Cancun International",Cancun,,Mexico,41,231602
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,VIX,"E. de Aguiar Salles",Vitoria,ES,Brazil,53,231408
SAL,"El Salvador Intl","San Salvador",,"El Salvador",LIM,"Jorge Chavez Intl",Lima,,Peru,28,231297
CCS,"Simon Bolivar International",Caracas,,Venezuela,MUN,"Jose T. Monagas International",Maturin,,Venezuela,32,228940
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,56,220070
BOG,"El Dorado Intl",Bogota,,Colombia,MIA,"Miami International",Miami,FL,"United States",46,216390
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MCZ,"Zumbi dos Palmares Int",Maceio,AL,Brazil,51,216245
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AEP,"Jorge Newbery","Buenos Aires-Newbery",BA,Argentina,224,213014
BOG,"El Dorado Intl",Bogota,,Colombia,PSO,"Antonio Narino",Pasto,,Colombia,104,211504
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,22,205840
BOG,"El Dorado Intl",Bogota,,Colombia,MEX,"Benito Juarez Intl","Mexico City",,Mexico,143,203880
SAL,"El Salvador Intl","San Salvador",,"El Salvador",SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",106,201826
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGB,"Marechal Rondon Intl",Cuiaba,MT,Brazil,35,196431
BOG,"El Dorado Intl",Bogota,,Colombia,GYE,"Jose Joaquin de Olmedo",Guayaquil,,Ecuador,38,193620
BOG,"El Dorado Intl",Bogota,,Colombia,UIO,"Mariscal Sucre Intl",Quito,,Ecuador,102,191993
CCS,"Simon Bolivar International",Caracas,,Venezuela,STD,"Buenaventura Vivas","Santo Domingo",,Venezuela,37,185451
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",72,183585
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,GYN,"Santa Genoveva",Goiania,GO,Brazil,53,183092
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,NAT,"Natal International",Natal,RN,Brazil,34,171808
BOG,"El Dorado Intl",Bogota,,Colombia,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,47,170016
BOG,"El Dorado Intl",Bogota,,Colombia,LET,"Alfredo V. Cobb Intl",Leticia,,Colombia,37,166427
BOG,"El Dorado Intl",Bogota,,Colombia,EOH,"Enrique Olaya Herrera",Medellin,,Colombia,76,159845
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BEL,"Val de Cans Intl",Belem,PA,Brazil,30,157169
SAL,"El Salvador Intl","San Salvador",,"El Salvador",PTY,"Tocumen Intl, Panama R","Panama City",,Panama,58,155202
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BOG,"El Dorado Intl",Bogota,,Colombia,40,154704
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IGU,"Cataratas International","Foz do Iguacu",PR,Brazil,28,152185
SAL,"El Salvador Intl","San Salvador",,"El Salvador",TGU,"Toncontin Intl",Tegucigalpa,,Honduras,35,151400
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FRA,"Frankfurt International Airport",Frankfurt,,Germany,7,143974
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAO,"Eduardo Gomes Intl",Manaus,AM,Brazil,29,139256
BOG,"El Dorado Intl",Bogota,,Colombia,SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",14,134400
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,47,133634
BOG,"El Dorado Intl",Bogota,,Colombia,IBE,Perales,Ibague,,Colombia,63,131896
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",29,131010
BOG,"El Dorado Intl",Bogota,,Colombia,PUJ,"Punta Cana International","Punta Cana",,"Dominican Republic",42,129251
CCS,"Simon Bolivar International",Caracas,,Venezuela,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",10,125507
BOG,"El Dorado Intl",Bogota,,Colombia,SAL,"El Salvador Intl","San Salvador",,"El Salvador",38,124572
BOG,"El Dorado Intl",Bogota,,Colombia,RCH,"Almirante Padilla",Riohacha,,Colombia,51,124280
SAL,"El Salvador Intl","San Salvador",,"El Salvador",BOG,"El Dorado Intl",Bogota,,Colombia,39,122824
BOG,"El Dorado Intl",Bogota,,Colombia,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,21,122378
CCS,"Simon Bolivar International",Caracas,,Venezuela,LIM,"Jorge Chavez Intl",Lima,,Peru,20,117931
BOG,"El Dorado Intl",Bogota,,Colombia,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",18,115740
BOG,"El Dorado Intl",Bogota,,Colombia,FLA,"Gustavo A. Paredes",Florencia,,Colombia,29,115396
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGR,"Campo Grande International","Campo Grande",MS,Brazil,25,112453
CCS,"Simon Bolivar International",Caracas,,Venezuela,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,32,112059
SAL,"El Salvador Intl","San Salvador",,"El Salvador",IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",65,111747
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AJU,"Santa Maria",Aracaju,SE,Brazil,23,111011
BOG,"El Dorado Intl",Bogota,,Colombia,PPN,"Guillermo L. Valencia",Popayan,,Colombia,28,110628
BOG,"El Dorado Intl",Bogota,,Colombia,EJA,Yariguies,Barrancabermeja,,Colombia,35,109300
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MEX,"Benito Juarez Intl","Mexico City",,Mexico,93,108794
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MGA,"Augusto C Sandino Intl",Managua,,Nicaragua,53,106224
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LIM,"Jorge Chavez Intl",Lima,,Peru,43,105150
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,TGU,"Toncontin Intl",Tegucigalpa,,Honduras,37,104224
BOG,"El Dorado Intl",Bogota,,Colombia,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,23,102870
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MVD,Carrasco,Montevideo,,Uruguay,41,100307
CCS,"Simon Bolivar International",Caracas,,Venezuela,LSP,"Josefa Camejo International","Las Piedras",,Venezuela,16,99759
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,NVT,"Victor Konder Intl",Navegantes,SC,Brazil,21,98836
CCS,"Simon Bolivar International",Caracas,,Venezuela,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,35,94466
BOG,"El Dorado Intl",Bogota,,Colombia,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",23,93868
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,SAL,"El Salvador Intl","San Salvador",,"El Salvador",45,92796
CCS,"Simon Bolivar International",Caracas,,Venezuela,MIA,"Miami International",Miami,FL,"United States",36,91923
BOG,"El Dorado Intl",Bogota,,Colombia,VVC,Vanguardia,Villavicencio,,Colombia,36,91813
CCS,"Simon Bolivar International",Caracas,,Venezuela,POS,"Piarco International","Port of Spain",,"Trinidad and Tobago",8,91544
BOG,"El Dorado Intl",Bogota,,Colombia,UIB,"El Carano",Quibdo,,Colombia,48,88300
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,MIA,"Miami International",Miami,FL,"United States",47,86926
BOG,"El Dorado Intl",Bogota,,Colombia,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",20,84006
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ASU,"Silvio Pettirossi Intl",Asuncion,,Paraguay,39,83665
CCS,"Simon Bolivar International",Caracas,,Venezuela,CUR,"Hato International",Curacao,,Curacao,40,83570
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MIA,"Miami International",Miami,FL,"United States",48,82398
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JPA,"Castro Pinto International","Joao Pessoa",PB,Brazil,28,81237
BOG,"El Dorado Intl",Bogota,,Colombia,MCO,"Orlando Intl",Orlando,FL,"United States",19,81210
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",9,76148
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,GUA,"La Aurora International","Guatemala City",,Guatemala,22,76022
BOG,"El Dorado Intl",Bogota,,Colombia,BLB,"Panama Pacifico",Balboa,,Panama,9,74285
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,RTB,"Juan Manuel Galvez",Roatan,,Honduras,35,74172
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MEX,"Benito Juarez Intl","Mexico City",,Mexico,35,73896
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,15,73642
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,RAO,"Leite Lopes","Ribeirao Preto",SP,Brazil,19,73280
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SLZ,"Cunha Machado Intl","Sao Luiz",MA,Brazil,34,72617
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BPS,"Porto Seguro","Porto Seguro",BA,Brazil,27,72400
SAL,"El Salvador Intl","San Salvador",,"El Salvador",SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,28,71520
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LIS,Lisboa,Lisbon,,Portugal,37,70994
BOG,"El Dorado Intl",Bogota,,Colombia,AUC,"Santiago Perez Quiroz",Arauca,,Colombia,50,70614
SAL,"El Salvador Intl","San Salvador",,"El Salvador",LAX,"Los Angeles Intl","Los Angeles",CA,"United States",24,66717
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DOH,"Hamad International Airport",Doha,,Qatar,5,66045
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MCO,"Orlando Intl",Orlando,FL,"United States",22,63736
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DXB,"Dubai International",Dubai,,"United Arab Emirates",3,61725
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MXP,Malpensa,Milan-Malpensa,,Italy,30,61663
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IST,Ataturk,Istanbul,,Turkey,7,61455
BOG,"El Dorado Intl",Bogota,,Colombia,PUU,"Tres de Mayo","Puerto Asis",,Colombia,42,60229
BOG,"El Dorado Intl",Bogota,,Colombia,GUA,"La Aurora International","Guatemala City",,Guatemala,23,59790
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MGF,"Silvio Name Jr.",Maringa,PR,Brazil,12,59514
